review_id,cid,population,groupe,etiquette,note,supprime,n_caracteres
Ci9DQUlRQUNvZENodHljRjlvT2tRMldtTTNUMFEzUjNscU5HVmpiMTlOUmxGS1FXYxAB,10305138318944906461,1_etoile_anglais_hors_enseignes,1,,1,False,313
Ci9DQUlRQUNvZENodHljRjlvT2tSelZrNXRTVWt4UTFSRlJHRkpZbE5KYkhVek5HYxAB,7088685552763257346,1_etoile_anglais_hors_enseignes,1,,1,False,270
Ci9DQUlRQUNvZENodHljRjlvT2tjNGN6bHBiV0ZpZVZaV04yRXpkbWxTZFZCdFVWRRAB,7907000785275340511,1_etoile_anglais_hors_enseignes,1,,1,False,1086
Ci9DQUlRQUNvZENodHljRjlvT2toTGNXZGhWVVJyWmxBMFl6VkRZVTk0YUZGTGNFRRAB,9707964460046462530,1_etoile_anglais_hors_enseignes,1,,1,False,595
Ci9DQUlRQUNvZENodHljRjlvT2toVFJVOWxYMkZGYzBJemIxOUJVbVp3T0dKcFZFRRAB,11085268109929963963,1_etoile_anglais_hors_enseignes,1,,1,False,393
Ci9DQUlRQUNvZENodHljRjlvT2toVlMyZFZRMmxZT1docE1VUlJkMnhTY0ZsSk5uYxAB,7122808346772570396,1_etoile_anglais_hors_enseignes,1,,1,False,507
Ci9DQUlRQUNvZENodHljRjlvT2tsaFFXVTRlbkJqT0RsblJTMWxOMHMyWW1OSGVVRRAB,17966140467111044363,1_etoile_anglais_hors_enseignes,1,,1,False,516
Ci9DQUlRQUNvZENodHljRjlvT2w4d2JGSnJja3BMTUhKNU1TMUdVRmh2WlRGNFpXYxAB,3548043799334044547,1_etoile_anglais_hors_enseignes,1,,1,True,309
Ci9DQUlRQUNvZENodHljRjlvT2w5cVJqbGhSME5CVFhkU1IzaE9WRXh1U2pscFkxRRAB,12179770780704989290,1_etoile_anglais_hors_enseignes,1,,1,False,374
Ci9DQUlRQUNvZENodHljRjlvT2xCTlRuQktWSGhUWWpoclMzRlFVRk5EWW5WT01FRRAB,5666359203959287151,1_etoile_anglais_hors_enseignes,1,,1,False,576
Ci9DQUlRQUNvZENodHljRjlvT2xGdlYyNUVTVW8wVFhrNWNrOTJWVkp5UVRKelJYYxAB,16069512827606530358,1_etoile_anglais_hors_enseignes,1,,1,False,676
Ci9DQUlRQUNvZENodHljRjlvT2xKcFdsaFVVVTFTWkZJMlNtUlZNbm8xUldvd1FsRRAB,12937939131301218020,1_etoile_anglais_hors_enseignes,1,,1,False,1216
Ci9DQUlRQUNvZENodHljRjlvT2xOS2F6RkJSa0Z6VDFjNVNWaFFaazVwY0ZWMVdWRRAB,14740593769376451592,1_etoile_anglais_hors_enseignes,1,,1,False,374
Ci9DQUlRQUNvZENodHljRjlvT2xsSVgxcHhSMjFsYTBWSmVtWldhV3R0TkhsS1dtYxAB,1473687679119913481,1_etoile_anglais_hors_enseignes,1,,1,False,638
Ci9DQUlRQUNvZENodHljRjlvT2xwamRGSkZRVXd6TkhaRFkyVm9kbkZmUXpsWGVrRRAB,6955007531150423218,1_etoile_anglais_hors_enseignes,1,,1,False,906
Ci9DQUlRQUNvZENodHljRjlvT201bE4wNUhUMHhWZW1kT1IwdENibkZOYjNodlQzYxAB,1900776265152923115,1_etoile_anglais_hors_enseignes,2,,1,False,312
Ci9DQUlRQUNvZENodHljRjlvT205TVZqbFdaVTFFYzFsVmVXMHdSVEJYTldKVU9VRRAB,8966407351200308412,1_etoile_anglais_hors_enseignes,2,,1,False,183
Ci9DQUlRQUNvZENodHljRjlvT210R1VVOTJPSGxOYm14dlkybFdWMkpVVkVZMGJtYxAB,13081817778893366773,1_etoile_anglais_hors_enseignes,2,,1,False,1544
Ci9DQUlRQUNvZENodHljRjlvT21GS2VTMDRRVnBaVGtkRk16UnBiWEpvU3pkcloyYxAB,9487083339530600819,1_etoile_anglais_hors_enseignes,2,,1,False,580
Ci9DQUlRQUNvZENodHljRjlvT21GVFZVWkJUMVIzUmtkdU5HaG1MV2hXWVUxMmFYYxAB,9955525685526011894,1_etoile_anglais_hors_enseignes,2,,1,False,236
Ci9DQUlRQUNvZENodHljRjlvT21GaFMxUlNkMVJLZERCclZFMTBTWEpwVVhnNE9YYxAB,10826640004977598429,1_etoile_anglais_hors_enseignes,2,,1,False,857
Ci9DQUlRQUNvZENodHljRjlvT21KM2QyczFUa1pCWjNGc1V6SmZibmhtTWsxQlNuYxAB,15702480480125668198,1_etoile_anglais_hors_enseignes,2,,1,False,209
Ci9DQUlRQUNvZENodHljRjlvT21KbGFFVkNOalJHTlhSQ2JqSkphRmwyV20wdFVHYxAB,7763249281847596762,1_etoile_anglais_hors_enseignes,2,,1,False,466
Ci9DQUlRQUNvZENodHljRjlvT21OUVducHpORkkzTFd0YU1reDNlWGM0VDFkaGRVRRAB,3669525193384852337,1_etoile_anglais_hors_enseignes,2,,1,True,639
Ci9DQUlRQUNvZENodHljRjlvT21RM2RtSnFSazAyYVd4d2NtUnVVMWhXYUROeGMxRRAB,15193137421156266213,1_etoile_anglais_hors_enseignes,2,,1,False,309
