variable,passage,risque_relatif,borne_basse,borne_haute,coefficient,p_value,avis,suppressions,auc,suppressions_trouvees_dans_10pct_des_avis,suppressions_trouvees_dans_20pct_des_avis,suppressions_trouvees_dans_50pct_des_avis
texte_1_50,Europe,2.226325418240994,1.1092322516825266,4.468428375020368,0.8003524318546633,0.024346877961534143,7731,152,0.6884340699893028,0.2602739726027397,0.4383561643835616,0.773972602739726
texte_51_200,Europe,2.491638490730497,1.180762433264703,5.257842046451678,0.9129405224766759,0.01657234897711777,7731,152,0.6884340699893028,0.2602739726027397,0.4383561643835616,0.773972602739726
texte_201p,Europe,2.1777589268505797,1.2452018273169865,3.8087270990408486,0.7782963328247894,0.0063552446886481545,7731,152,0.6884340699893028,0.2602739726027397,0.4383561643835616,0.773972602739726
log_rc,Europe,0.8088764185605269,0.6474370422249424,1.0105709402335747,-0.21210913186119523,0.061847568081710665,7731,152,0.6884340699893028,0.2602739726027397,0.4383561643835616,0.773972602739726
log_photos_auteur,Europe,0.8462599892852438,0.7144892484946364,1.0023327446479233,-0.16692865064778034,0.053238295844154744,7731,152,0.6884340699893028,0.2602739726027397,0.4383561643835616,0.773972602739726
guide_1_3,Europe,1.0,1.0,1.0,0.0,,7731,152,0.6884340699893028,0.2602739726027397,0.4383561643835616,0.773972602739726
guide_sans_niveau,Europe,2.9059608998037807,1.6644679787326988,5.07345822153815,1.0667641100691965,0.00017544820349488837,7731,152,0.6884340699893028,0.2602739726027397,0.4383561643835616,0.773972602739726
guide_4_et_plus,Europe,1.7912010005327639,1.0215868151484948,3.1406053570133547,0.5828863448846348,0.041900305624290514,7731,152,0.6884340699893028,0.2602739726027397,0.4383561643835616,0.773972602739726
log_burst,Europe,26.63404150470048,2.5321891486327504,280.1418556181444,3.2821901534139677,0.006260374186093916,7731,152,0.6884340699893028,0.2602739726027397,0.4383561643835616,0.773972602739726
log_ratio_pic_journalier_fiche,Europe,1.347618577388651,0.9554867524452597,1.9006813286268514,0.29833901799149154,0.08904947793631492,7731,152,0.6884340699893028,0.2602739726027397,0.4383561643835616,0.773972602739726
